iter	Passed	Remaining
0	148	14675
1	152	7489
2	157	5087
3	162	3893
4	166	3166
5	171	2689
6	176	2344
7	180	2072
8	185	1876
9	190	1714
10	194	1571
11	198	1452
12	203	1364
13	208	1278
14	212	1203
15	218	1148
16	223	1091
17	227	1037
18	232	992
19	237	949
20	241	908
21	245	871
22	251	841
23	255	810
24	260	780
25	265	755
26	269	729
27	273	703
28	277	680
29	283	661
30	287	640
31	292	620
32	296	602
33	301	585
34	305	568
35	309	550
36	314	535
37	319	520
38	323	505
39	327	490
40	331	477
41	336	465
42	341	452
43	346	440
44	350	428
45	354	416
46	356	402
47	361	391
48	365	380
49	369	369
50	373	359
51	378	349
52	382	339
53	386	329
54	391	320
55	395	310
56	399	301
57	403	292
58	408	283
59	413	275
60	417	266
61	421	258
62	426	250
63	430	242
64	434	233
65	438	225
66	442	217
67	446	210
68	450	202
69	454	194
70	459	187
71	463	180
72	467	173
73	472	166
74	477	159
75	482	152
76	486	145
77	490	138
78	494	131
79	499	124
80	503	118
81	507	111
82	511	104
83	514	98
84	518	91
85	522	85
86	526	78
87	530	72
88	534	66
89	538	59
90	542	53
91	546	47
92	551	41
93	555	35
94	559	29
95	563	23
96	568	17
97	572	11
98	576	5
99	580	0
